03-25,2,5,7
03-26,,4,4
03-27,,4,4
03-28,,5,5
03-29,2,9,11
03-30,2,3,5
03-31,,6,6
04-01,5,3,8
04-02,,1,1
04-03,1,1,2
04-04,,5,5
04-05,,2,2
04-06,2,3,5
04-07,,8,8
04-08,1,4,5
04-09,1,2,3
04-10,1,5,6
04-11,,3,10
04-12,,1,8
04-13,1,3,14
04-14,3,1,15
04-15,2,3,15
04-16,1,1,13
04-17,,2,18
04-18,2,1,20
04-19,3,2,22
04-20,3,2,26
04-21,,1,24
04-22,1,3,29
04-23,,1,37
